state	black_population	black_positive_cases	black_deaths	hispanic_population	hispanic_positive_cases	hispanic_deaths	asian_population	asian_positive_cases	asian_deaths	indian_population	indian_positive_cases	indian_deaths	hawaiian_pop	hawaiian_positive_cases	hawaiian_deaths	multiple_population	multiple_positive cases	multiple_deaths	white_population	white_positive_cases	white_deaths
alabama	26.80%	43.51%	45.82%	4.40%	0.00%	0.00%	1.50%	0.85%	0.80%	0.70%	0.00%	0.00%	0.10%	0.00%	0.00%	1.70%	0.00%	0.00%	65.40%	52.38%	52.19%
alaska	3.80%	2.32%	-	7.20%	0.00%	-	6.60%	14.24%	-	15.40%	6.29%	-	1.40%	2.65%	-	7.40%	3.31%	-	60.30%	68.21%	-
arizona	5.10%	5.18%	3.83%	31.60%	26.04%	14.94%	3.70%	1.96%	1.53%	5.30%	20.09%	21.46%	0.30%	0.00%	0.00%	2.90%	0.00%	0.00%	54.40%	44.14%	56.70%
arkansas	15.70%	36.83%	34.48%	7.70%	4.49%	0.00%	1.70%	1.44%	0.00%	1.00%	0.00%	0.00%	0.40%	0.00%	1.72%	2.20%	0.47%	0.00%	72.20%	57.11%	62.07%
california	6.50%	6.51%	10.68%	39.30%	44.79%	33.81%	15.30%	12.25%	16.76%	1.60%	0.23%	0.40%	0.50%	0.23%	0.98%	3.90%	0.82%	0.29%	36.80%	27.45%	35.19%
colorado	4.60%	7.67%	6.68%	21.70%	0.00%	0.00%	3.50%	2.68%	3.67%	1.60%	0.53%	0.13%	0.20%	0.53%	0.66%	3.10%	1.38%	1.05%	67.90%	50.56%	70.38%
connecticut	12.00%	19.04%	15.55%	16.50%	25.19%	8.96%	4.90%	2.39%	0.90%	0.60%	0.00%	0.00%	0.10%	0.00%	0.00%	2.40%	0.00%	0.00%	66.50%	52.16%	73.65%
delaware	23.00%	34.81%	28.57%	9.50%	25.22%	3.97%		0.03%	0.79%	4.10%	0.00%	0.00%	0.10%	0.00%	0.00%	2.70%	6.38%	2.38%	61.90%	31.90%	64.29%
district of columbia	46.40%	56.69%	79.51%	11.30%	0.00%	6.83%	4.40%	1.78%	1.95%	0.60%	0.31%	0.00%	0.10%	0.31%	0.00%	2.80%	21.43%	0.00%	37.10%	19.57%	10.73%
florida	16.90%	23.38%	-	26.10%	0.00%	-	3.00%	0.00%	-	0.50%	0.00%	-	0.10%	0.00%	-	2.20%	0.00%	-	53.50%	65.72%	-
georgia	32.40%	40.76%	53.00%	9.80%	0.00%	0.00%	4.30%	1.60%	1.88%	0.50%	0.15%	0.09%	0.10%	0.04%	0.00%	2.20%	0.04%	0.00%	52.40%	32.39%	43.62%
guam	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-
hawaii	2.20%	0.92%	-	10.70%	0.00%	-	37.60%	29.94%	-	0.40%	0.00%	-	10.20%	10.91%	-	24.00%	25.88%	-	21.80%	28.84%	-
idaho	0.90%	-	1.67%	12.70%	-	0.00%	1.60%	-	0.00%	1.70%	-	0.00%	0.20%	-	3.33%	2.50%	-	0.00%	81.70%	-	95.00%
illinois	14.60%	29.13%	36.33%	17.40%	29.11%	13.56%	5.90%	4.61%	4.15%	6.00%	0.19%	0.09%	0.10%	0.17%	0.09%	2.00%	0.00%	0.00%	61.00%	31.34%	41.62%
indiana	9.80%	21.17%	0.00%	7.10%	12.48%	0.00%	2.50%	2.16%	0.00%	4.00%	0.00%	0.00%	0.10%	0.00%	0.00%	2.10%	0.00%	0.00%	78.90%	64.19%	0.00%
iowa	4.00%	16.79%	-	6.20%	0.00%	-	2.70%	0.00%	-	5.00%	0.00%	-	0.10%	10.35%	-	1.90%	0.00%	-	85.30%	70.81%	-
kansas	6.10%	14.50%	33.62%	12.10%	0.00%	0.00%	3.10%	3.82%	0.00%	1.20%	0.47%	0.86%	0.10%	0.00%	0.00%	3.00%	0.00%	0.00%	75.70%	77.84%	65.52%
kentucky	8.40%	15.45%	18.00%	3.80%	0.00%	0.00%	1.60%	0.10%	1.50%	3.00%	0.00%	0.00%	0.10%	0.00%	0.00%	2.00%	0.06%	0.50%	84.30%	84.40%	80.00%
louisiana	32.70%	-	59.11%	5.20%	-	1.64%	1.80%	-	0.79%	0.80%	-	0.00%	0.10%	-	0.24%	1.70%	-	0.00%	58.60%	-	38.76%
maine	1.60%	5.01%	-	1.70%	0.00%	-	1.20%	1.59%	-		0.12%	-	z	1.59%	-	1.80%	0.24%	-	93.10%	89.26%	-
maryland	30.90%	44.59%	44.35%	10.40%	20.34%	7.03%	6.70%	2.54%	3.95%	0.60%	0.00%	0.00%	0.10%	0.00%	0.00%	2.90%	0.00%	0.00%	50.50%	28.15%	42.81%
massachusetts	8.90%	15.25%	10.63%	12.30%	25.71%	11.05%	7.10%	3.26%	3.78%	0.50%	0.00%	0.00%	0.10%	0.00%	0.00%	2.50%	0.00%	0.00%	71.40%	48.37%	69.17%
michigan	14.10%	41.30%	44.23%	5.20%	3.87%	1.08%	3.40%	2.58%	1.08%	0.70%	0.64%	0.54%	z	0.00%	0.00%	2.50%	9.03%	2.20%	74.90%	41.30%	49.74%
minnesota	6.80%	16.99%	6.10%	5.50%	16.99%	3.66%	5.10%	5.21%	1.22%	1.40%	1.30%	2.44%	0.10%	0.65%	0.00%	2.50%	2.59%	1.22%	79.50%	60.19%	87.80%
mississippi	37.80%	54.73%	58.00%	3.40%	0.00%	0.00%	1.10%	0.00%	0.00%	0.60%	0.00%	0.00%	0.10%	0.00%	0.00%	1.30%	0.00%	0.00%	56.50%	35.10%	41.20%
missouri	11.80%	40.26%	40.00%	4.30%	0.00%	0.00%	2.10%	0.00%	0.00%	0.60%	0.00%	0.00%	0.20%	0.00%	0.00%	2.30%	3.88%	3.67%	79.30%	53.26%	53.06%
montana	0.60%	0.45%	-	4.00%	0.00%	-	0.90%	0.22%	-	6.60%	5.16%	-	0.10%	0.00%	-	2.80%	0.00%	-	85.90%	93.72%	-
nebraska	5.10%	-	-	11.20%	-	-	2.70%	-	-	1.50%	-	-	0.10%	-	-	2.30%	-	-	78.60%	-	-
nevada	10.10%	-	-	29.00%	-	-	8.70%	-	-	1.70%	-	-	0.80%	-	-	4.50%	-	-	48.70%	-	-
